,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player▲,Dist.,2P.2,3P.2,%FGA,DRTG
30,MarJon Beauchamp,SF,22,MIL,52,701,8.2,0.513,0.584,0.152,5.9,11.0,8.5,6.7,1.4,0.8,14.8,18.3,-0.4,0.8,0.4,0.027,-4.1,-0.6,-4.8,-0.5,MarJon Beauchamp,17.5,0.551,0.872,0.058,112.9
31,Patrick Beverley,SG,34,TOT,67,1816,8.9,0.534,0.664,0.181,2.7,12.0,7.5,13.3,1.7,2.0,13.4,10.6,0.8,2.1,3.0,0.079,-2.9,1.7,-1.2,0.3,Patrick Beverley,18.7,0.359,0.875,0.003,113.1
32,Saddiq Bey,SF,23,TOT,77,2129,14.6,0.564,0.5,0.285,5.0,14.0,9.4,8.1,1.6,0.5,7.0,20.2,2.6,1.2,3.9,0.087,0.9,-1.2,-0.3,0.9,Saddiq Bey,15.8,0.381,0.914,0.037,117.0
33,Goga Bitadze,C,23,TOT,38,457,17.1,0.582,0.208,0.336,15.0,18.7,16.8,12.1,1.7,5.3,13.3,15.4,0.8,0.6,1.3,0.141,-0.8,1.1,0.3,0.3,Goga Bitadze,7.8,0.635,0.833,0.152,105.4
34,Bismack Biyombo,C,30,PHO,61,874,14.4,0.555,0.0,0.34,11.0,22.1,16.5,8.7,1.0,9.0,17.7,14.0,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,Bismack Biyombo,4.4,0.824,0.0,0.214,109.7
35,Bol Bol,PF,23,ORL,70,1505,14.4,0.603,0.236,0.226,5.2,25.3,15.2,6.9,1.0,5.5,17.6,18.2,0.0,2.2,2.3,0.072,-1.8,0.9,-0.9,0.4,Bol Bol,10.7,0.537,0.767,0.157,112.0
36,Devin Booker,SG,26,PHO,53,1835,22.0,0.601,0.296,0.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.8,4.2,1.9,6.0,0.157,4.5,-0.3,4.2,2.9,Devin Booker,14.5,0.387,0.685,0.02,113.4
37,Brandon Boston Jr.,SF,21,LAC,22,248,13.4,0.515,0.238,0.311,3.2,10.3,6.8,12.5,1.8,0.0,8.0,26.5,0.0,0.2,0.2,0.04,-1.5,-0.7,-2.2,0.0,Brandon Boston Jr.,12.6,0.538,0.583,0.09,114.5
38,Chris Boucher,PF,30,TOR,76,1523,18.0,0.59,0.357,0.318,10.9,21.2,15.7,2.7,1.5,4.1,6.4,18.0,3.0,2.0,5.0,0.156,0.7,-0.8,-0.1,0.7,Chris Boucher,11.2,0.578,0.984,0.149,111.6
39,James Bouknight,SG,22,CHO,34,515,6.2,0.463,0.565,0.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,-0.8,0.4,-0.4,-0.04,-5.4,-1.1,-6.5,-0.6,James Bouknight,17.9,0.5,0.697,0.016,110.9
40,Malaki Branham,SG,19,SAS,66,1550,9.5,0.524,0.417,0.115,1.9,11.2,6.4,11.4,1.0,0.4,10.6,19.1,-0.4,0.2,-0.1,-0.004,-3.0,-2.1,-5.2,-1.3,Malaki Branham,15.5,0.495,0.922,0.02,119.4
41,Christian Braun,SG,21,DEN,76,1181,10.3,0.568,0.332,0.221,4.8,12.6,8.8,6.4,1.7,1.3,9.9,13.0,0.7,1.2,1.9,0.079,-2.5,0.1,-2.4,-0.1,Christian Braun,11.4,0.67,0.941,0.114,111.3
42,Mikal Bridges,SF,26,TOT,83,2963,16.8,0.587,0.349,0.279,2.9,10.8,6.8,13.7,1.5,1.8,8.2,22.6,4.4,3.1,7.5,0.121,1.5,0.2,1.7,2.8,Mikal Bridges,14.5,0.538,0.923,0.028,113.2
43,Oshae Brissett,PF,24,IND,65,1083,10.6,0.52,0.486,0.455,6.4,16.0,11.2,5.4,1.4,1.0,8.2,16.1,0.4,0.7,1.1,0.05,-2.0,-1.2,-3.2,-0.3,Oshae Brissett,14.1,0.72,0.958,0.05,111.8
44,Malcolm Brogdon,PG,30,BOS,67,1744,18.2,0.615,0.406,0.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,3.6,2.2,5.8,0.161,2.3,0.6,2.8,2.1,Malcolm Brogdon,14.6,0.342,0.659,0.007,109.3
45,Dillon Brooks,SF,27,MEM,73,2214,9.4,0.494,0.443,0.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,-0.8,2.4,1.6,0.034,-3.4,-0.5,-3.9,-1.1,Dillon Brooks,15.8,0.438,0.797,0.012,108.5
